,Fecha,Provincia,Casos,Fase,Poblacion,Nombre
103,2020-01-02,ZA,0,0.0,172539,Zamora
104,2020-01-03,A,0,0.0,1858683,Alicante
105,2020-01-03,AB,0,0.0,388167,Albacete
106,2020-01-03,AL,0,0.0,716820,Almería
107,2020-01-03,AV,0,0.0,157640,Ávila
108,2020-01-03,B,0,0.0,5664579,Barcelona
109,2020-01-03,BA,0,0.0,673559,Badajoz
110,2020-01-03,BI,0,0.0,1152651,Vizcaya
111,2020-01-03,BU,0,0.0,356958,Burgos
112,2020-01-03,C,0,0.0,1119596,La Coruña
113,2020-01-03,CA,0,0.0,1240155,Cádiz
114,2020-01-03,CC,0,0.0,394151,Cáceres
115,2020-01-03,CE,0,0.0,84777,Ceuta
116,2020-01-03,CO,0,0.0,782979,Córdoba
117,2020-01-03,CR,0,0.0,495761,Ciudad Real
118,2020-01-03,CS,0,0.0,579962,Castellón
119,2020-01-03,CU,0,0.0,196329,Cuenca
120,2020-01-03,GC,0,0.0,1120406,Las Palmas
121,2020-01-03,GI,0,0.0,771044,Gerona
122,2020-01-03,GR,0,0.0,914678,Granada
123,2020-01-03,GU,0,0.0,257762,Guadalajara
124,2020-01-03,H,0,0.0,521870,Huelva
125,2020-01-03,HU,0,0.0,220461,Huesca
126,2020-01-03,J,0,0.0,633564,Jaén
127,2020-01-03,L,0,0.0,434930,Lérida
128,2020-01-03,LE,0,0.0,460001,León
129,2020-01-03,LO,0,0.0,316798,La Rioja
130,2020-01-03,LU,0,0.0,329587,Lugo
131,2020-01-03,M,0,0.0,6663394,Madrid
132,2020-01-03,MA,0,0.0,1661785,Málaga
133,2020-01-03,ME,0,0.0,86487,Melilla
134,2020-01-03,MU,0,0.0,1493898,Murcia
135,2020-01-03,NA,0,0.0,654214,Navarra
136,2020-01-03,O,0,0.0,1022800,Asturias
137,2020-01-03,OR,0,0.0,307651,Orense
138,2020-01-03,P,0,0.0,160980,Palencia
139,2020-01-03,PM,0,0.0,1149460,Baleares
140,2020-01-03,PO,0,0.0,942665,Pontevedra
141,2020-01-03,S,0,0.0,581078,Cantabria
142,2020-01-03,SA,0,0.0,330119,Salamanca
143,2020-01-03,SE,0,0.0,1942389,Sevilla
144,2020-01-03,SG,0,0.0,153129,Segovia
145,2020-01-03,SO,0,0.0,88636,Soria
146,2020-01-03,SS,0,0.0,723576,Guipúzcoa
147,2020-01-03,T,0,0.0,804664,Tarragona
148,2020-01-03,TE,0,0.0,134137,Teruel
149,2020-01-03,TF,0,0.0,1032983,Santa Cruz de Tenerife
150,2020-01-03,TO,0,0.0,694844,Toledo
151,2020-01-03,V,0,0.0,2565124,Valencia
152,2020-01-03,VA,0,0.0,519546,Valladolid
153,2020-01-03,VI,0,0.0,331549,Álava
154,2020-01-03,Z,0,0.0,964693,Zaragoza
155,2020-01-03,ZA,0,0.0,172539,Zamora
156,2020-01-04,A,0,0.0,1858683,Alicante
157,2020-01-04,AB,0,0.0,388167,Albacete
158,2020-01-04,AL,0,0.0,716820,Almería
159,2020-01-04,AV,0,0.0,157640,Ávila
160,2020-01-04,B,0,0.0,5664579,Barcelona
161,2020-01-04,BA,0,0.0,673559,Badajoz
162,2020-01-04,BI,0,0.0,1152651,Vizcaya
163,2020-01-04,BU,0,0.0,356958,Burgos
164,2020-01-04,C,0,0.0,1119596,La Coruña
165,2020-01-04,CA,0,0.0,1240155,Cádiz
166,2020-01-04,CC,0,0.0,394151,Cáceres
167,2020-01-04,CE,0,0.0,84777,Ceuta
168,2020-01-04,CO,0,0.0,782979,Córdoba
169,2020-01-04,CR,0,0.0,495761,Ciudad Real
170,2020-01-04,CS,0,0.0,579962,Castellón
171,2020-01-04,CU,0,0.0,196329,Cuenca
172,2020-01-04,GC,0,0.0,1120406,Las Palmas
173,2020-01-04,GI,0,0.0,771044,Gerona
174,2020-01-04,GR,0,0.0,914678,Granada
175,2020-01-04,GU,0,0.0,257762,Guadalajara
176,2020-01-04,H,0,0.0,521870,Huelva
177,2020-01-04,HU,0,0.0,220461,Huesca
178,2020-01-04,J,0,0.0,633564,Jaén
179,2020-01-04,L,0,0.0,434930,Lérida
180,2020-01-04,LE,0,0.0,460001,León
181,2020-01-04,LO,0,0.0,316798,La Rioja
182,2020-01-04,LU,0,0.0,329587,Lugo
183,2020-01-04,M,0,0.0,6663394,Madrid
184,2020-01-04,MA,0,0.0,1661785,Málaga
185,2020-01-04,ME,0,0.0,86487,Melilla
186,2020-01-04,MU,0,0.0,1493898,Murcia
187,2020-01-04,NA,0,0.0,654214,Navarra
188,2020-01-04,O,0,0.0,1022800,Asturias
189,2020-01-04,OR,0,0.0,307651,Orense
190,2020-01-04,P,0,0.0,160980,Palencia
191,2020-01-04,PM,0,0.0,1149460,Baleares
192,2020-01-04,PO,0,0.0,942665,Pontevedra
193,2020-01-04,S,0,0.0,581078,Cantabria
194,2020-01-04,SA,0,0.0,330119,Salamanca
195,2020-01-04,SE,0,0.0,1942389,Sevilla
196,2020-01-04,SG,0,0.0,153129,Segovia
197,2020-01-04,SO,0,0.0,88636,Soria
198,2020-01-04,SS,0,0.0,723576,Guipúzcoa
199,2020-01-04,T,0,0.0,804664,Tarragona
200,2020-01-04,TE,0,0.0,134137,Teruel
201,2020-01-04,TF,0,0.0,1032983,Santa Cruz de Tenerife
202,2020-01-04,TO,0,0.0,694844,Toledo
203,2020-01-04,V,0,0.0,2565124,Valencia
204,2020-01-04,VA,0,0.0,519546,Valladolid
205,2020-01-04,VI,0,0.0,331549,Álava
206,2020-01-04,Z,0,0.0,964693,Zaragoza
207,2020-01-04,ZA,0,0.0,172539,Zamora
208,2020-01-05,A,0,0.0,1858683,Alicante
209,2020-01-05,AB,0,0.0,388167,Albacete
210,2020-01-05,AL,0,0.0,716820,Almería
211,2020-01-05,AV,0,0.0,157640,Ávila
212,2020-01-05,B,0,0.0,5664579,Barcelona
213,2020-01-05,BA,0,0.0,673559,Badajoz
214,2020-01-05,BI,0,0.0,1152651,Vizcaya
215,2020-01-05,BU,0,0.0,356958,Burgos
216,2020-01-05,C,0,0.0,1119596,La Coruña
217,2020-01-05,CA,0,0.0,1240155,Cádiz
218,2020-01-05,CC,0,0.0,394151,Cáceres
219,2020-01-05,CE,0,0.0,84777,Ceuta
220,2020-01-05,CO,0,0.0,782979,Córdoba
221,2020-01-05,CR,0,0.0,495761,Ciudad Real
222,2020-01-05,CS,0,0.0,579962,Castellón
223,2020-01-05,CU,0,0.0,196329,Cuenca
224,2020-01-05,GC,0,0.0,1120406,Las Palmas
225,2020-01-05,GI,0,0.0,771044,Gerona
226,2020-01-05,GR,0,0.0,914678,Granada
227,2020-01-05,GU,0,0.0,257762,Guadalajara
228,2020-01-05,H,0,0.0,521870,Huelva
229,2020-01-05,HU,0,0.0,220461,Huesca
230,2020-01-05,J,0,0.0,633564,Jaén
231,2020-01-05,L,0,0.0,434930,Lérida
232,2020-01-05,LE,0,0.0,460001,León
233,2020-01-05,LO,0,0.0,316798,La Rioja
234,2020-01-05,LU,0,0.0,329587,Lugo
235,2020-01-05,M,0,0.0,6663394,Madrid
236,2020-01-05,MA,0,0.0,1661785,Málaga
237,2020-01-05,ME,0,0.0,86487,Melilla
238,2020-01-05,MU,0,0.0,1493898,Murcia
239,2020-01-05,NA,0,0.0,654214,Navarra
240,2020-01-05,O,0,0.0,1022800,Asturias
241,2020-01-05,OR,0,0.0,307651,Orense
242,2020-01-05,P,0,0.0,160980,Palencia
243,2020-01-05,PM,0,0.0,1149460,Baleares
244,2020-01-05,PO,0,0.0,942665,Pontevedra
245,2020-01-05,S,0,0.0,581078,Cantabria
246,2020-01-05,SA,0,0.0,330119,Salamanca
247,2020-01-05,SE,0,0.0,1942389,Sevilla
248,2020-01-05,SG,0,0.0,153129,Segovia
249,2020-01-05,SO,0,0.0,88636,Soria
250,2020-01-05,SS,0,0.0,723576,Guipúzcoa
251,2020-01-05,T,0,0.0,804664,Tarragona
252,2020-01-05,TE,0,0.0,134137,Teruel
253,2020-01-05,TF,0,0.0,1032983,Santa Cruz de Tenerife
254,2020-01-05,TO,0,0.0,694844,Toledo
255,2020-01-05,V,0,0.0,2565124,Valencia
256,2020-01-05,VA,0,0.0,519546,Valladolid
257,2020-01-05,VI,0,0.0,331549,Álava
258,2020-01-05,Z,0,0.0,964693,Zaragoza
259,2020-01-05,ZA,0,0.0,172539,Zamora
260,2020-01-06,A,0,0.0,1858683,Alicante
261,2020-01-06,AB,0,0.0,388167,Albacete
262,2020-01-06,AL,0,0.0,716820,Almería
263,2020-01-06,AV,0,0.0,157640,Ávila
264,2020-01-06,B,0,0.0,5664579,Barcelona
265,2020-01-06,BA,0,0.0,673559,Badajoz
266,2020-01-06,BI,0,0.0,1152651,Vizcaya
267,2020-01-06,BU,0,0.0,356958,Burgos
268,2020-01-06,C,0,0.0,1119596,La Coruña
269,2020-01-06,CA,0,0.0,1240155,Cádiz
270,2020-01-06,CC,0,0.0,394151,Cáceres
271,2020-01-06,CE,0,0.0,84777,Ceuta
272,2020-01-06,CO,0,0.0,782979,Córdoba
273,2020-01-06,CR,0,0.0,495761,Ciudad Real
274,2020-01-06,CS,0,0.0,579962,Castellón
275,2020-01-06,CU,0,0.0,196329,Cuenca
276,2020-01-06,GC,0,0.0,1120406,Las Palmas
277,2020-01-06,GI,0,0.0,771044,Gerona
278,2020-01-06,GR,0,0.0,914678,Granada
279,2020-01-06,GU,0,0.0,257762,Guadalajara
280,2020-01-06,H,0,0.0,521870,Huelva
281,2020-01-06,HU,0,0.0,220461,Huesca
282,2020-01-06,J,0,0.0,633564,Jaén
283,2020-01-06,L,0,0.0,434930,Lérida
284,2020-01-06,LE,0,0.0,460001,León
285,2020-01-06,LO,0,0.0,316798,La Rioja
286,2020-01-06,LU,0,0.0,329587,Lugo
287,2020-01-06,M,0,0.0,6663394,Madrid
288,2020-01-06,MA,0,0.0,1661785,Málaga
289,2020-01-06,ME,0,0.0,86487,Melilla
290,2020-01-06,MU,0,0.0,1493898,Murcia
291,2020-01-06,NA,0,0.0,654214,Navarra
292,2020-01-06,O,0,0.0,1022800,Asturias
293,2020-01-06,OR,0,0.0,307651,Orense
294,2020-01-06,P,0,0.0,160980,Palencia
295,2020-01-06,PM,0,0.0,1149460,Baleares
296,2020-01-06,PO,0,0.0,942665,Pontevedra
297,2020-01-06,S,0,0.0,581078,Cantabria
298,2020-01-06,SA,0,0.0,330119,Salamanca
299,2020-01-06,SE,0,0.0,1942389,Sevilla
300,2020-01-06,SG,0,0.0,153129,Segovia
301,2020-01-06,SO,0,0.0,88636,Soria
302,2020-01-06,SS,0,0.0,723576,Guipúzcoa
303,2020-01-06,T,0,0.0,804664,Tarragona
304,2020-01-06,TE,0,0.0,134137,Teruel
305,2020-01-06,TF,0,0.0,1032983,Santa Cruz de Tenerife
306,2020-01-06,TO,0,0.0,694844,Toledo
307,2020-01-06,V,0,0.0,2565124,Valencia
308,2020-01-06,VA,0,0.0,519546,Valladolid
309,2020-01-06,VI,0,0.0,331549,Álava
310,2020-01-06,Z,0,0.0,964693,Zaragoza
311,2020-01-06,ZA,0,0.0,172539,Zamora
312,2020-01-07,A,0,0.0,1858683,Alicante
313,2020-01-07,AB,0,0.0,388167,Albacete
314,2020-01-07,AL,0,0.0,716820,Almería
315,2020-01-07,AV,0,0.0,157640,Ávila
316,2020-01-07,B,0,0.0,5664579,Barcelona
317,2020-01-07,BA,0,0.0,673559,Badajoz
318,2020-01-07,BI,0,0.0,1152651,Vizcaya
319,2020-01-07,BU,0,0.0,356958,Burgos
320,2020-01-07,C,0,0.0,1119596,La Coruña
321,2020-01-07,CA,0,0.0,1240155,Cádiz
322,2020-01-07,CC,0,0.0,394151,Cáceres
323,2020-01-07,CE,0,0.0,84777,Ceuta
324,2020-01-07,CO,0,0.0,782979,Córdoba
325,2020-01-07,CR,0,0.0,495761,Ciudad Real
326,2020-01-07,CS,0,0.0,579962,Castellón
327,2020-01-07,CU,0,0.0,196329,Cuenca
328,2020-01-07,GC,0,0.0,1120406,Las Palmas
329,2020-01-07,GI,0,0.0,771044,Gerona
330,2020-01-07,GR,0,0.0,914678,Granada
331,2020-01-07,GU,0,0.0,257762,Guadalajara
332,2020-01-07,H,0,0.0,521870,Huelva
333,2020-01-07,HU,0,0.0,220461,Huesca
334,2020-01-07,J,0,0.0,633564,Jaén
335,2020-01-07,L,0,0.0,434930,Lérida
336,2020-01-07,LE,0,0.0,460001,León
337,2020-01-07,LO,0,0.0,316798,La Rioja
338,2020-01-07,LU,0,0.0,329587,Lugo
339,2020-01-07,M,0,0.0,6663394,Madrid
340,2020-01-07,MA,0,0.0,1661785,Málaga
341,2020-01-07,ME,0,0.0,86487,Melilla
342,2020-01-07,MU,0,0.0,1493898,Murcia
343,2020-01-07,NA,0,0.0,654214,Navarra
344,2020-01-07,O,0,0.0,1022800,Asturias
345,2020-01-07,OR,0,0.0,307651,Orense
346,2020-01-07,P,0,0.0,160980,Palencia
347,2020-01-07,PM,0,0.0,1149460,Baleares
348,2020-01-07,PO,0,0.0,942665,Pontevedra
349,2020-01-07,S,0,0.0,581078,Cantabria
350,2020-01-07,SA,0,0.0,330119,Salamanca
351,2020-01-07,SE,0,0.0,1942389,Sevilla
352,2020-01-07,SG,0,0.0,153129,Segovia
353,2020-01-07,SO,0,0.0,88636,Soria
354,2020-01-07,SS,0,0.0,723576,Guipúzcoa
355,2020-01-07,T,0,0.0,804664,Tarragona
356,2020-01-07,TE,0,0.0,134137,Teruel
357,2020-01-07,TF,0,0.0,1032983,Santa Cruz de Tenerife
358,2020-01-07,TO,0,0.0,694844,Toledo
359,2020-01-07,V,0,0.0,2565124,Valencia
360,2020-01-07,VA,0,0.0,519546,Valladolid
361,2020-01-07,VI,0,0.0,331549,Álava
362,2020-01-07,Z,0,0.0,964693,Zaragoza
363,2020-01-07,ZA,0,0.0,172539,Zamora
364,2020-01-08,A,0,0.0,1858683,Alicante
365,2020-01-08,AB,0,0.0,388167,Albacete
366,2020-01-08,AL,0,0.0,716820,Almería
367,2020-01-08,AV,0,0.0,157640,Ávila
368,2020-01-08,B,1,0.0,5664579,Barcelona
369,2020-01-08,BA,0,0.0,673559,Badajoz
370,2020-01-08,BI,0,0.0,1152651,Vizcaya
371,2020-01-08,BU,0,0.0,356958,Burgos
372,2020-01-08,C,0,0.0,1119596,La Coruña
373,2020-01-08,CA,0,0.0,1240155,Cádiz
374,2020-01-08,CC,0,0.0,394151,Cáceres
375,2020-01-08,CE,0,0.0,84777,Ceuta
376,2020-01-08,CO,0,0.0,782979,Córdoba
377,2020-01-08,CR,0,0.0,495761,Ciudad Real
378,2020-01-08,CS,0,0.0,579962,Castellón
379,2020-01-08,CU,0,0.0,196329,Cuenca
380,2020-01-08,GC,0,0.0,1120406,Las Palmas
381,2020-01-08,GI,0,0.0,771044,Gerona
382,2020-01-08,GR,0,0.0,914678,Granada
383,2020-01-08,GU,0,0.0,257762,Guadalajara
384,2020-01-08,H,0,0.0,521870,Huelva
