provinces,iso,comunidadiso,Fecha,Fase
Las Palmas,GC,CN,18/05/2020,1
León,LE,CL,18/05/2020,0
Lérida,L,CT,18/05/2020,1
Lugo,LU,GA,18/05/2020,1
Madrid,M,MD,18/05/2020,0
Málaga,MA,AN,18/05/2020,1
Murcia,MU,MC,18/05/2020,1
Navarra,NA,NC,18/05/2020,1
Orense,OR,GA,18/05/2020,1
Palencia,P,CL,18/05/2020,0
Pontevedra,PO,GA,18/05/2020,1
Salamanca,SA,CL,18/05/2020,1
Santa Cruz de Tenerife,TF,CN,18/05/2020,1
Segovia,SG,CL,18/05/2020,0
Sevilla,SE,AN,18/05/2020,1
Soria,SO,CL,18/05/2020,1
Tarragona,T,CT,18/05/2020,1
Teruel,TE,AR,18/05/2020,1
Toledo,TO,CM,18/05/2020,1
Valencia,V,VC,18/05/2020,1
Valladolid,VA,CL,18/05/2020,0
Zamora,ZA,CL,18/05/2020,0
Zaragoza,Z,AR,18/05/2020,1
Ceuta,CE,CE,18/05/2020,1
Melilla,ME,ME,18/05/2020,1
La Coruña,C,GA,25/05/2020,2
Álava,VI,PV,25/05/2020,2
Albacete,AB,CM,25/05/2020,1
Alicante,A,VC,25/05/2020,1
Almería,AL,AN,25/05/2020,2
Asturias,O,AS,25/05/2020,2
Ávila,AV,CL,25/05/2020,1
Badajoz,BA,EX,25/05/2020,2
Baleares,PM,IB,25/05/2020,2
Barcelona,B,CT,25/05/2020,1
Vizcaya,BI,PV,25/05/2020,2
Burgos,BU,CL,25/05/2020,1
Cáceres,CC,EX,25/05/2020,2
Cádiz,CA,AN,25/05/2020,2
Cantabria,S,CB,25/05/2020,2
Castellón,CS,VC,25/05/2020,1
Ciudad Real,CR,CM,25/05/2020,1
Córdoba,CO,AN,25/05/2020,2
Cuenca,CU,CM,25/05/2020,2
Guipúzcoa,SS,PV,25/05/2020,2
Gerona,GI,CT,25/05/2020,1
Granada,GR,AN,25/05/2020,1
Guadalajara,GU,CM,25/05/2020,2
Huelva,H,AN,25/05/2020,2
Huesca,HU,AR,25/05/2020,2
Jaén,J,AN,25/05/2020,2
La Rioja,LO,RI,25/05/2020,2
Las Palmas,GC,CN,25/05/2020,2
León,LE,CL,25/05/2020,1
Lérida,L,CT,25/05/2020,1
Lugo,LU,GA,25/05/2020,2
Madrid,M,MD,25/05/2020,1
Málaga,MA,AN,25/05/2020,1
Murcia,MU,MC,25/05/2020,2
Navarra,NA,NC,25/05/2020,2
Orense,OR,GA,25/05/2020,2
Palencia,P,CL,25/05/2020,2
Pontevedra,PO,GA,25/05/2020,2
Salamanca,SA,CL,25/05/2020,1
Santa Cruz de Tenerife,TF,CN,25/05/2020,2
Segovia,SG,CL,25/05/2020,1
Sevilla,SE,AN,25/05/2020,2
Soria,SO,CL,25/05/2020,1
Tarragona,T,CT,25/05/2020,2
Teruel,TE,AR,25/05/2020,2
Toledo,TO,CM,25/05/2020,1
Valencia,V,VC,25/05/2020,1
Valladolid,VA,CL,25/05/2020,1
Zamora,ZA,CL,25/05/2020,1
Zaragoza,Z,AR,25/05/2020,2
Ceuta,CE,CE,25/05/2020,2
Melilla,ME,ME,25/05/2020,2
La Coruña,C,GA,01/06/2020,2
Álava,VI,PV,01/06/2020,2
Albacete,AB,CM,01/06/2020,2
Alicante,A,VC,01/06/2020,2
Almería,AL,AN,01/06/2020,2
Asturias,O,AS,01/06/2020,2
Ávila,AV,CL,01/06/2020,1
Badajoz,BA,EX,01/06/2020,2
Baleares,PM,IB,01/06/2020,2
Barcelona,B,CT,01/06/2020,1
Vizcaya,BI,PV,01/06/2020,2
Burgos,BU,CL,01/06/2020,1
Cáceres,CC,EX,01/06/2020,2
Cádiz,CA,AN,01/06/2020,2
Cantabria,S,CB,01/06/2020,2
Castellón,CS,VC,01/06/2020,2
Ciudad Real,CR,CM,01/06/2020,2
Córdoba,CO,AN,01/06/2020,2
Cuenca,CU,CM,01/06/2020,2
Guipúzcoa,SS,PV,01/06/2020,2
Gerona,GI,CT,01/06/2020,2
Granada,GR,AN,01/06/2020,2
Guadalajara,GU,CM,01/06/2020,2
Huelva,H,AN,01/06/2020,2
Huesca,HU,AR,01/06/2020,2
Jaén,J,AN,01/06/2020,2
La Rioja,LO,RI,01/06/2020,2
Las Palmas,GC,CN,01/06/2020,2
León,LE,CL,01/06/2020,1
Lérida,L,CT,01/06/2020,1
Lugo,LU,GA,01/06/2020,2
Madrid,M,MD,01/06/2020,1
Málaga,MA,AN,01/06/2020,2
Murcia,MU,MC,01/06/2020,2
Navarra,NA,NC,01/06/2020,2
Orense,OR,GA,01/06/2020,2
Palencia,P,CL,01/06/2020,2
Pontevedra,PO,GA,01/06/2020,2
Salamanca,SA,CL,01/06/2020,1
Santa Cruz de Tenerife,TF,CN,01/06/2020,2
Segovia,SG,CL,01/06/2020,1
Sevilla,SE,AN,01/06/2020,2
Soria,SO,CL,01/06/2020,1
Tarragona,T,CT,01/06/2020,2
Teruel,TE,AR,01/06/2020,2
Toledo,TO,CM,01/06/2020,2
Valencia,V,VC,01/06/2020,2
Valladolid,VA,CL,01/06/2020,1
Zamora,ZA,CL,01/06/2020,1
Zaragoza,Z,AR,01/06/2020,2
Ceuta,CE,CE,01/06/2020,2
Melilla,ME,ME,01/06/2020,2
La Coruña,C,GA,08/06/2020,3
Álava,VI,PV,08/06/2020,3
Albacete,AB,CM,08/06/2020,2
Alicante,A,VC,08/06/2020,2
Almería,AL,AN,08/06/2020,3
Asturias,O,AS,08/06/2020,3
Ávila,AV,CL,08/06/2020,2
Badajoz,BA,EX,08/06/2020,3
Baleares,PM,IB,08/06/2020,3
Barcelona,B,CT,08/06/2020,2
Vizcaya,BI,PV,08/06/2020,3
Burgos,BU,CL,08/06/2020,2
Cáceres,CC,EX,08/06/2020,3
Cádiz,CA,AN,08/06/2020,3
Cantabria,S,CB,08/06/2020,3
Castellón,CS,VC,08/06/2020,2
Ciudad Real,CR,CM,08/06/2020,2
Córdoba,CO,AN,08/06/2020,3
Cuenca,CU,CM,08/06/2020,3
Guipúzcoa,SS,PV,08/06/2020,3
Gerona,GI,CT,08/06/2020,2
Granada,GR,AN,08/06/2020,3
Guadalajara,GU,CM,08/06/2020,3
Huelva,H,AN,08/06/2020,3
Huesca,HU,AR,08/06/2020,3
Jaén,J,AN,08/06/2020,3
